enrollment_id,student_id,course_id,enrollment_date,completion_status,progress_percent
1,10543,42,2024-08-13,In Progress,60.0
2,25556,153,2024-12-19,Completed,84.0
3,7704,120,2025-04-18,In Progress,54.0
4,26233,2,2026-02-12,Dropped,11.0
5,27231,82,2025-11-30,Completed,93.0
6,1452,41,2025-04-06,Completed,66.0
7,11204,172,2025-05-03,Completed,22.0
8,10976,50,2025-08-02,Completed,9.0
9,7919,90,2025-04-20,Dropped,47.0
10,29923,71,2025-12-29,Completed,8.0
11,13966,44,2024-12-02,Completed,21.0
12,20388,90,2024-05-13,Dropped,40.0
13,1587,187,2025-12-31,Completed,14.0
14,16774,57,2025-08-08,Completed,1.0
15,3729,40,2025-01-24,Dropped,21.0
16,25426,60,2026-02-07,In Progress,95.0
17,24392,143,2025-03-05,In Progress,80.0
18,25395,75,2025-07-21,Completed,35.0
19,20020,94,2025-12-18,Completed,50.0
20,12300,60,2024-10-19,Completed,60.0
21,6481,117,2026-02-11,Completed,84.0
22,19039,66,2025-02-26,Completed,22.0
23,28531,118,2025-05-28,Dropped,66.0
24,14465,167,2024-12-06,In Progress,48.0
25,4107,47,2025-11-23,Completed,92.0
26,8682,141,2025-11-12,Completed,48.0
27,18704,96,2025-09-17,In Progress,11.0
28,11121,109,2025-07-02,Completed,48.0
29,11356,103,2024-09-13,Completed,59.0
30,6153,21,2025-05-27,Completed,26.0
31,19319,14,2024-11-23,Completed,39.0
32,25723,79,2025-08-18,Dropped,23.0
33,19208,150,2025-11-30,Completed,81.0
34,2506,106,2024-08-28,Completed,35.0
35,23464,72,2025-07-24,Dropped,54.0
36,14787,74,2025-02-08,Dropped,25.0
37,7799,144,2024-12-29,In Progress,32.0
38,24254,94,2025-08-17,Completed,61.0
39,6935,1,2024-09-15,Completed,93.0
40,9004,162,2025-02-25,Completed,54.0
41,16440,200,2024-07-25,Completed,78.0
42,8900,134,2024-09-10,Completed,70.0
43,14715,161,2024-08-21,Dropped,38.0
44,15862,138,2024-12-21,Dropped,94.0
45,17394,91,2025-01-20,In Progress,4.0
46,20503,125,2025-04-24,Completed,69.0
47,28425,179,2026-02-09,Completed,22.0
48,3317,153,2024-12-19,Completed,28.0
49,13060,198,2024-04-07,Dropped,70.0
50,3490,120,2026-02-10,In Progress,24.0
51,20711,43,2025-07-26,Completed,
52,20690,170,2025-07-26,Dropped,49.0
53,21666,3,2025-07-06,Completed,64.0
54,9593,111,2025-08-26,Completed,20.0
55,15202,192,2025-06-03,Completed,54.0
56,17578,42,2025-07-28,Dropped,15.0
57,4995,182,2025-05-09,Dropped,41.0
58,7507,143,2025-03-06,In Progress,13.0
59,24354,16,2025-05-09,In Progress,40.0
60,1498,180,2026-01-17,Completed,64.0
61,9443,102,2025-07-22,Dropped,84.0
62,25449,63,2024-09-03,Completed,32.0
63,2411,44,2024-08-17,Completed,33.0
64,11743,104,2024-12-01,Dropped,14.0
65,26155,174,2025-04-29,In Progress,86.0
66,8667,148,2024-12-28,Completed,14.0
67,28867,59,2025-11-11,In Progress,52.0
68,21516,118,2025-11-04,Dropped,20.0
69,19951,66,2024-06-17,Dropped,90.0
70,20433,3,2025-09-29,Completed,48.0
71,6928,158,2025-02-01,In Progress,43.0
72,15422,172,2025-04-04,Completed,40.0
73,21009,61,2025-11-23,In Progress,91.0
74,8463,84,2024-12-18,Dropped,93.0
75,23066,141,2024-10-18,Dropped,16.0
76,6018,195,2024-03-27,Completed,85.0
77,23185,155,2024-09-10,Completed,42.0
78,7006,18,2025-04-19,Completed,28.0
79,19936,110,2024-06-08,In Progress,70.0
80,14110,49,2024-02-21,Dropped,92.0
81,20970,162,2024-07-01,Completed,26.0
82,4458,180,2025-09-27,Dropped,2.0
83,20268,75,2025-03-24,Completed,91.0
84,27196,84,2024-02-23,Completed,70.0
85,9187,71,2024-02-28,Dropped,93.0
86,17153,174,2024-06-24,Completed,8.0
87,13331,80,2024-09-10,Dropped,40.0
88,25121,55,2024-07-17,Dropped,29.0
89,5075,28,2025-02-03,Completed,82.0
90,9124,36,2025-04-06,Dropped,34.0
91,24667,169,2025-10-31,In Progress,28.0
92,14299,191,2024-03-03,Completed,29.0
93,20718,135,2024-08-05,Completed,81.0
94,14798,178,2025-12-16,Completed,49.0
95,7192,63,2025-04-12,In Progress,88.0
96,29923,61,2025-09-30,Dropped,2.0
97,25427,34,2025-03-28,Completed,34.0
98,7549,189,2024-07-10,Dropped,13.0
99,19353,31,2024-06-22,Dropped,51.0
100,13065,127,2024-10-21,Completed,64.0
101,27654,143,2025-03-04,Dropped,27.0
102,2660,28,2025-10-11,Completed,27.0
103,634,172,2024-06-18,Completed,74.0
104,15717,143,2025-09-12,In Progress,91.0
105,3229,24,2025-02-07,Dropped,52.0
106,25801,77,2024-08-12,Completed,82.0
107,17633,42,2026-01-07,Completed,15.0
108,17367,191,2025-05-03,Completed,78.0
109,2511,149,2026-01-13,Completed,9.0
110,20235,153,2024-09-04,Completed,88.0
111,21143,19,2025-07-17,Dropped,53.0
112,20378,112,2024-03-31,Completed,75.0
113,15617,3,2025-07-22,In Progress,13.0
114,990,174,2025-03-04,Completed,68.0
115,1617,152,2024-06-05,In Progress,85.0
116,23406,21,2025-03-13,In Progress,99.0
117,8617,1,2024-08-08,Dropped,4.0
118,9623,121,2024-04-27,Dropped,61.0
119,18020,178,2024-03-11,In Progress,1.0
120,12393,159,2024-09-01,Completed,92.0
121,6396,7,2024-02-27,Completed,29.0
122,5219,160,2025-03-16,Completed,2.0
123,16562,43,2024-09-20,Completed,85.0
124,13577,100,2025-03-11,Dropped,100.0
125,5252,195,2024-10-19,Completed,31.0
126,13511,188,2024-05-24,Completed,36.0
127,28353,193,2024-03-16,In Progress,54.0
128,720,12,2026-02-03,Completed,70.0
129,3129,10,2026-02-10,In Progress,60.0
130,23420,119,2026-01-20,Dropped,11.0
131,29081,199,2024-04-29,Dropped,22.0
132,27578,25,2025-05-10,Dropped,66.0
133,14598,91,2025-12-27,In Progress,12.0
134,2790,61,2025-09-07,Completed,7.0
135,25230,70,2025-02-24,Dropped,23.0
136,27199,84,2025-09-01,Completed,25.0
137,22646,49,2025-04-22,In Progress,94.0
138,11749,150,2024-02-25,Completed,37.0
139,15307,26,2025-07-06,Completed,19.0
140,27969,32,2026-01-28,In Progress,41.0
141,12596,87,2024-10-11,Dropped,15.0
142,25066,65,2025-12-03,Completed,14.0
143,25921,149,2024-08-02,Completed,31.0
144,6901,78,2024-07-02,Dropped,92.0
145,23908,147,2025-07-24,Completed,5.0
146,608,153,2024-10-12,Dropped,73.0
147,15073,137,2025-11-25,In Progress,91.0
148,3592,41,2025-06-12,Dropped,12.0
149,5646,29,2026-01-14,Completed,9.0
150,4120,47,2024-07-04,Completed,22.0
151,5312,194,2025-05-20,In Progress,29.0
152,8945,111,2024-08-01,Dropped,83.0
153,3049,115,2025-10-22,Dropped,82.0
154,4445,122,2025-12-29,Dropped,92.0
155,4121,159,2024-09-27,In Progress,87.0
156,11654,14,2025-02-24,Dropped,76.0
157,16001,151,2025-09-08,Dropped,52.0
158,1015,38,2024-07-01,Dropped,56.0
